gene_id,gut_r1,gut_r2,gut_r3,duct_r1,duct_r2,duct_r3
ENSMUSG00000028180,1525.35,1085.93,1418.92,1112.82,806.21,1271.81
ENSMUSG00000028182,23.13,10.88,11.76,7.06,37.66,6.04
ENSMUSG00000028184,169.28,183.45,175.72,127.83,71.45,77.03
ENSMUSG00000028187,1410.65,1209.53,1596.72,1268.09,1824.83,1664.52
ENSMUSG00000028186,1.85,0.0,0.0,5.49,0.0,224.3
ENSMUSG00000028189,409.78,450.07,334.15,174.1,131.31,161.62
ENSMUSG00000028188,80.48,81.62,96.16,67.44,59.86,77.79
ENSMUSG00000083764,3.7,3.11,1.38,3.14,1.93,3.02
ENSMUSG00000035429,8.33,17.1,22.14,7.06,0.0,2.27
ENSMUSG00000074781,2501.24,2292.35,2362.56,2285.23,2849.24,3204.44
ENSMUSG00000069833,750.19,733.02,1050.18,2129.96,1624.0,2772.45
ENSMUSG00000069830,962.01,702.71,882.07,116.85,82.07,42.29
ENSMUSG00000028238,0.0,0.0,0.0,5.49,17.38,0.0
ENSMUSG00000033862,282.13,417.43,417.86,343.49,318.62,339.1
ENSMUSG00000038762,2802.79,3330.08,3023.94,2616.96,2998.9,2071.59
ENSMUSG00000033860,0.0,0.0,0.0,0.78,0.0,247.72
ENSMUSG00000069835,13.88,33.43,23.52,7.06,22.21,20.39
ENSMUSG00000028233,636.41,757.12,691.82,428.97,608.28,925.16
ENSMUSG00000028232,731.69,671.61,885.53,470.54,368.83,431.99
ENSMUSG00000028234,2219.11,2663.91,2045.02,2147.99,3262.48,4666.56
ENSMUSG00000114974,0.93,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000114972,2.78,1.55,1.38,0.0,0.97,0.76
ENSMUSG00000044534,0.0,0.0,0.0,15.68,0.97,1.51
ENSMUSG00000068120,1.85,0.78,5.53,1.57,0.97,8.31
ENSMUSG00000068129,9.25,8.55,21.45,299.57,345.66,282.46
ENSMUSG00000018209,3626.98,3240.69,4373.68,5011.2,4573.66,2597.99
ENSMUSG00000044288,0.0,0.0,0.0,4.71,7.72,21.9
ENSMUSG00000044285,271.95,289.17,272.58,650.12,620.83,712.18
ENSMUSG00000022962,1746.43,1883.47,1664.52,1366.12,1016.69,571.71
ENSMUSG00000006958,16.65,13.21,0.69,0.0,0.0,0.76
ENSMUSG00000087574,14.8,11.66,13.14,49.41,23.17,52.11
ENSMUSG00000087578,15.73,7.0,13.84,12.55,6.76,1.51
ENSMUSG00000058569,4414.16,4218.57,2863.44,2990.25,2600.14,3696.85
ENSMUSG00000058567,20.35,41.98,47.74,31.37,4.83,17.37
ENSMUSG00000021583,3945.18,2863.68,3297.21,1550.41,998.35,835.28
ENSMUSG00000073860,0.0,0.0,0.0,6.27,9.66,9.06
ENSMUSG00000073867,52.73,52.86,56.04,34.51,5.79,101.96
ENSMUSG00000021585,4269.86,3210.37,4549.4,2130.74,1360.41,1177.4
ENSMUSG00000116536,17.58,12.44,15.22,13.33,20.28,29.45
ENSMUSG00000116534,22.2,10.88,5.53,54.9,65.66,39.27
ENSMUSG00000021589,8.33,5.44,31.13,1.57,16.41,22.66
ENSMUSG00000115350,1.85,3.11,0.69,1.57,0.0,2.27
ENSMUSG00000024163,1056.37,1026.08,1522.69,1250.84,861.24,940.26
ENSMUSG00000020755,1164.59,1103.81,896.6,1333.97,1138.35,1298.24
ENSMUSG00000030888,636.41,793.65,636.47,566.21,413.24,527.91
ENSMUSG00000086191,3.7,3.11,0.69,0.0,6.76,8.31
ENSMUSG00000086196,37.0,31.09,20.75,96.46,38.62,20.39
ENSMUSG00000030881,846.39,917.25,668.3,879.9,660.41,824.71
ENSMUSG00000026753,2302.36,1556.21,1847.16,1803.72,1297.66,1838.98
ENSMUSG00000026750,970.34,1011.31,859.24,1003.81,1275.45,1568.61
ENSMUSG00000030884,3063.64,3183.94,2395.77,3151.02,3123.45,3258.06
ENSMUSG00000026754,143.38,162.46,221.38,348.2,258.76,358.73
ENSMUSG00000026755,1650.22,1823.62,1879.67,3198.07,2546.07,3866.02
ENSMUSG00000020752,796.44,649.07,879.3,767.76,488.55,483.35
ENSMUSG00000059213,0.0,0.78,0.0,0.0,0.0,0.76
ENSMUSG00000075837,0.0,0.0,0.0,2.35,0.0,0.0
ENSMUSG00000020758,7.4,33.43,36.67,6.27,0.0,41.54
ENSMUSG00000086220,1.85,3.11,0.0,0.0,2.9,0.76
ENSMUSG00000086228,9.25,0.0,0.0,0.78,0.97,0.0
ENSMUSG00000086229,0.0,0.78,2.08,0.78,0.97,0.0
ENSMUSG00000081643,18.5,21.77,11.76,14.12,19.31,30.21
ENSMUSG00000081642,8.33,7.77,13.14,10.98,22.21,27.19
ENSMUSG00000081640,6.48,3.11,6.92,3.14,4.83,11.33
ENSMUSG00000081647,4.63,19.43,4.15,23.53,14.48,4.53
ENSMUSG00000081648,5.55,0.0,0.69,3.92,0.0,10.57
ENSMUSG00000004446,719.66,890.82,1040.5,1023.41,425.79,978.02
ENSMUSG00000085558,0.0,3.11,0.0,0.0,2.9,2.27
ENSMUSG00000098557,1144.24,1033.85,911.82,1145.75,2093.24,1977.19
ENSMUSG00000028937,2936.92,3530.63,2790.11,2609.9,3511.59,2271.73
ENSMUSG00000089417,6.48,3.11,3.46,5.49,6.76,4.53
ENSMUSG00000010051,21.28,17.1,25.6,58.82,73.38,52.87
ENSMUSG00000085884,4.63,7.77,0.69,4.71,0.0,0.0
ENSMUSG00000085887,12.95,13.21,38.05,104.3,25.1,74.77
ENSMUSG00000085886,0.0,0.0,2.08,0.0,0.0,0.0
ENSMUSG00000085881,0.0,0.0,2.77,0.0,0.0,0.0
ENSMUSG00000085882,41.63,52.08,35.28,54.11,12.55,110.26
ENSMUSG00000029919,563.33,411.21,893.14,285.46,244.28,240.16
ENSMUSG00000029918,215.53,264.29,242.83,316.83,436.41,614.76
ENSMUSG00000029915,434.76,345.13,312.7,207.82,436.41,266.6
ENSMUSG00000029916,299.7,342.03,333.46,302.71,188.28,246.2
ENSMUSG00000029911,668.78,632.75,628.17,923.03,1026.35,1672.83
ENSMUSG00000029910,1225.64,1225.85,1108.29,1308.09,767.59,1815.57
ENSMUSG00000029913,7.4,34.98,1.38,3.14,13.52,0.76
ENSMUSG00000077549,1.85,0.78,3.46,0.0,0.0,0.0
ENSMUSG00000070527,0.0,5.44,0.0,4.71,0.0,6.8
